	SORU 	CEVAP
1	 No.lu Sosyal Hizmet 1.sınıf öğrencisiyim.BTU100-20 dersi için Selin KOÇAK hocamın gönderdiği kayıt anahtarı sürekli hatalı çıkıyor,derse kayıt olamıyorum.Lütfen bu durumu düzeltirmisiniz.,saygılar.. T	BTU100-20 dersi için Selin Koçak hocanın gönderdiği kayıt anahtarının hatalı çıkması durumunda, doğru anahtarın kullanıldığından emin olun. Eğer sorun devam ediyorsa, öğrenci işlerine veya dersin öğretim elemanına başvurarak durumu bildirmeniz gerekecektir. Ayrıca, kayıt tarihlerinin kontrol edilmesi de önemlidir
2	Hocam merhabalar, dönem ortalamam tamamlamak için btu ders kaydı yapmam gerekiyor sağlık fakültesi için kontenjan açabilir miyiz	Dönem ortalamanızı tamamlamak için BTU dersi kaydı yapmanız gerektiği belirtilmiş. Bu durumda, ilgili bölümle iletişime geçerek kontenjan açılması talebinde bulunabilirsiniz. Genellikle bu tür talepler bölüm başkanlığına yönlendirilir ve uygun bir çözüm sunulabilir
3	Merhabalar iyi günler, BTU muafiyet sınavında öğrenci numarası sorusunu öğrenci kartım olmadığı için giremedim, yan sekmeden açıp bakmak da istemedim. Sınav başlangıcında kimlik kontrolü yapılmasına rağmen sınavım geçersiz olur mu? Saygılar.	BTU muafiyet sınavında öğrenci numarasını giremediğiniz için sınavın geçersiz olup olmayacağı konusunda endişeleriniz var. Sınav başlangıcında kimlik kontrolü yapılmışsa, genellikle sınavınız geçersiz olmaz. Ancak kesin bilgi almak için öğrenci işlerine danışmanız faydalı olacaktır
4	BTU Muafiyet sınavı için başvurdum ama her hangi bir ekibe eklenmedim sınavın tekrarlanmasını istiyorum giriş yapamıyorum	Eğer BTU muafiyet sınavına başvurduysanız ancak herhangi bir ekibe eklenmediyseniz, bu durumda öğrenci işlerine veya sınavı düzenleyen birime başvurmanız gerekecektir. Sınavın tekrarlanması için resmi bir talep oluşturmalısınız. Bu talebinizi yazılı olarak iletmek, sürecin hızlanmasına yardımcı olabilir.
5	Sayın yetkili merhabalar BTU100 sınavı için TEAMS'e kaydolurken mail adresimi yanlış kayıt ettim.(22389389@baskent.edu.tr - bu mail adresim ile ) eski kaydı silemiyorum bu sebeple yeni kaydı oluşturamadım. Bu konuda bana yardımcı olabilirmisiniz. Kolaylıklar Dilerim.	BTU100 sınavı için Microsoft Teams'e kaydolurken e-posta adresinizi yanlış girdiyseniz, eski kaydı silme yetkiniz yoksa öğrenci işlerine başvurarak durumu açıklamanız ve yeni bir kayıt oluşturma talebinde bulunmanız önemlidir. Genellikle bu tür durumlarda ilgili birim yardımcı olacaktır
6	Bilgi Teknolojileri ve Uygulamaları koordinatörlüğüne: Ben Sosyal hizmet bölümü 2.sınıf öğrencisi  İpek Merve Yağcı. Geçen senenin bahar döneminde BTU muafiyetinden geçtim ancak bu sene de ilk dönem dersi tekrar alacağımı sandığım için, geçmeme rağmen başvuru yaptım, başvurumu iptal etmek istiyorum ama edemiyorum kapandığından dolayı bu yüzden gereğinin yapılmasını arz ederim.	Geçen yıl muafiyet sınavından geçtiğiniz halde bu yıl tekrar başvuru yaptıysanız ve iptal edemiyorsanız, öğrenci işlerine veya ilgili koordinatörlüğe durumu bildirerek başvurunuzu iptal etmelerini talep edebilirsiniz. Başvurular kapandığı için durumu acil olarak iletmek önemlidir
7	btu muafiyet sınavına girmek için MİCROSOFT TEAMS i indirdim ama oturum açmak için e posta adresinin parolası gerekiyor. Öğrenci işlerini aradım ama telefonu açan olmadı. Parolamı da bilmiyorum. Ne yapabilirim?	 Microsoft Teams'e giriş yapmak için e-posta adresinin parolasını unuttuysanız, parolanızı sıfırlamak için üniversitenizin IT destek birimiyle iletişime geçmeniz gerekecektir. Eğer öğrenci işlerine ulaşamıyorsanız, e-posta üzerinden destek talep edebilir veya üniversitenizin web sitesinde yer alan iletişim bilgilerini kullanarak alternatif yollarla yardım alabilirsiniz.
8	BTU dersinde şubem 24 şubedir ama final sınavda gireceğim liste 24 de değil 26 şubede gözüküyorum.	BTU dersinde şubenizin 24 olmasına rağmen final sınavında 26 şubede gözüküyorsanız, bu durumda öğrenci işlerine başvurarak durumu bildirmeniz önemlidir. Yanlış listeye göre sınava girmek, sorun yaratabilir, bu nedenle durumu acilen düzeltmek için gerekli adımları atmalısınız.
9	Merhabalar ben Yurdagül Börekçi İş Sağlığı Ve Güvenliği bölümü birinci sınıf öğrencisiyim bahar dönemi ORY100 dersine katılmadığım için öys üzerinden videoları izliyorum fakat izlememe rağmen yan tarafında bulunan kutucukta izledikten sonra tik olmuyor ne yapabilirim herhangi bir sorun olur mu ?	Oryantasyon dersinin videolarını izlerken kutucukların tik olmaması durumunda, bu genellikle sistemsel bir hata olabilir. Bu tür teknik sorunlar için ilgili dersin öğretim elemanıyla veya öğrenci işlerine başvurmanız faydalı olacaktır. İzlediğiniz videoların kaydedilip kaydedilmediğini kontrol etmek de önemlidir; aksi takdirde, herhangi bir sorun oluşmayabilir, ancak durumu netleştirmek için resmi bir bildirimde bulunmalısınız.
10	Btu muafiyet sınavına başvuru yaptığım halde beni teams ekibine almadılar. Bu durumda ne yapmam gerekiyor?	BTU muafiyet sınavına başvurduğunuz halde Microsoft Teams ekibine alınmadıysanız, hemen öğrenci işlerine başvurmanız ve durumu açıklamanız gerekecektir. Gerekirse yazılı bir talep oluşturarak sınav gününe kadar ekibe dahil edilmenizi talep edebilirsiniz.
11	Hocam günaydın .Tıp fak. öğrencisiydim. Yatay geçiş yaptım. Eylem hanım ile görüştüm. Btu100 ders içeriğine ihtiyacım bulunmaktadır. Gereğini saygılarımla arz ederim.	Yatay geçiş yaptığınız için BTU100 ders içeriğine ihtiyacınız varsa, bu konuda Eylem Hanım ile görüştüğünüzü belirtmişsiniz. Ders içeriğini almak için öğrenci işlerine veya ilgili bölüm koordinatörlüğüne başvurmanız gerekecektir. Genellikle ders içerikleri, üniversitenin resmi web sitesinde de bulunabilir.
